plot,microsite,shrub_density
1,shrub,12
1,open,12
2,shrub,6
2,open,6
3,shrub,2
3,open,2
4,open,0
5,shrub,11
5,open,11
6,shrub,7
6,open,7
7,shrub,3
7,open,3
8,open,0
