Site,site.number,plot,site.density,shrub.count,observer
Carrizo,4,1,HD,12,field
Carrizo,4,2,MD,6,field
Carrizo,4,3,LD,2,field
Carrizo,4,4,ND,0,field
Carrizo,3,5,HD,11,field
Carrizo,3,6,MD,6,field
Carrizo,3,7,LD,3,field
Carrizo,3,8,ND,0,field
Carrizo,4,1,HD,12,field
Carrizo,4,2,MD,6,field
Carrizo,4,3,LD,2,field
Carrizo,4,4,ND,0,field
Carrizo,3,5,HD,11,field
Carrizo,3,6,MD,6,field
Carrizo,3,7,LD,3,field
Carrizo,3,8,ND,0,field
