Site,site.number,plot,site.density,shrub.count
Carrizo,4,1,HD,12
Carrizo,4,2,MD,6
Carrizo,4,3,LD,2
Carrizo,4,4,ND,0
Carrizo,3,5,HD,11
Carrizo,3,6,MD,6
Carrizo,3,7,LD,3
Carrizo,3,8,ND,0
